"issue_id","type","title","duration_days","comments_count","fixer_login","is_core_member","created_at"
"19948","PR","Fix German translation of ""Added object(s)""","0.07","3","mardukbp","0","2025-10-13"
"19985","PR","Fixed #36663: Make management commands default to ","0.59","1","varunkasyap","0","2025-10-22"
"19980","PR","Fixed #36677 -- Fixed scheduling of system checks ","0.4","3","jacobtylerwalls","0","2025-10-21"
"19975","PR","Fixed #33058 --added a custom logger and all messa","2.45","1","pranavh03","0","2025-10-19"
"19981","PR","Fixed typo in RemoteTestResult._confirm_picklable(","0.02","2","felixxm","1","2025-10-21"
"19977","PR","Fixed #36674 -- Prevented memory leak in select_re","0.08","1","nzioker","0","2025-10-21"
"19979","PR","[5.1.x] Fixed #36675 -- Fixed Oracle dialect compa","0.01","1","varunkasyap","0","2025-10-21"
"19593","PR","Fixed #36470 -- Potential log injection in develop","116.88","12","YashRaj1506","0","2025-06-25"
"19976","PR","Fixed RelatedGeoModelTest.test_related_union_aggre","0.09","2","felixxm","1","2025-10-20"
"19956","PR","Fix Language issue at makemessages","6.49","3","gklptrgt","0","2025-10-14"
"19972","PR","Fixed #36671 -- Dropped support for SQLite < 3.37.","1.29","1","felixxm","1","2025-10-17"
"19962","PR","Fixed #36665 -- Improved manager usage guidance in","2.97","2","segnimekonnen7","0","2025-10-14"
"19969","PR","Fixed #36669 -- Documented no negative indexing in","0.81","2","aj2s","0","2025-10-16"
"19961","PR","Fixed #36657 -- Improved discoverability of advanc","0.03","2","segnimekonnen7","0","2025-10-14"
"19965","PR","Fixed parameter names in ""New contributor"" GitHub ","0.01","1","felixxm","1","2025-10-15"
"19955","PR","Fixed #36648, Refs #33772 -- Accounted for composi","0.93","1","jacobtylerwalls","0","2025-10-13"
"19944","PR","Fixed #36658 -- Raised TemplateSyntaxError for inv","2.21","2","segnimekonnen7","0","2025-10-12"
"19949","PR","Fixed #36654 -- Corrected Model._do_update()'s doc","1.14","1","AugustoPontes1","0","2025-10-13"
"19492","PR","Fixed #34041 -- Improve accessibility of admin pag","145.19","9","Antoliny0919","0","2025-05-22"
"19906","PR","Fixed #36625 -- Added mention of quit() and exit()","16.25","2","arsalan64","0","2025-09-27"
"19884","PR","Fixed #36611, Refs #36580 -- Added system check fo","24.14","1","sarahboyce","0","2025-09-19"
"19951","PR","Fixed #36660 -- Regression in descending Index loc","0.04","3","Sharon-Davasia","0","2025-10-13"
"19932","PR","Fixed #36646 -- Added compatibility for oracledb 3","3.02","10","charettes","1","2025-10-08"
"19945","PR","Fixed #36660 -- Fixed a regression in descending I","0.86","1","charettes","1","2025-10-12"
"19396","PR","Fixed #35095 Updated Swiss (German) number formatt","175.33","1","AhmedNassar7","0","2025-04-20"
"19927","PR","Pinned ""New contributor"" GitHub action to v3.0 to ","0.6","1","timonweb","0","2025-10-07"
"19916","PR","Fixed #36623 -- Dropped support for PostgreSQL 14 ","0.41","4","felixxm","1","2025-10-03"
"19057","PR","Fixed #35972 -- Fixed lookup crashes after subquer","199.78","10","jacobtylerwalls","0","2025-01-16"
"18259","PR","Fixed #22712 -- Avoided name shadowing of ""all"" in","19.33","8","avallbona","0","2024-06-08"
"19917","PR","Fixed #36636 -- Removed session-based storage refe","0.29","1","DaniFornons","0","2025-10-03"
